Character,Pinyin,English
啦,la,"sentence-final particle, contraction of 了啊, indicating exclamation/particle placed after each item in a list of examples"
了,le,unofficial variant of 瞭[liao4]
腿,tui3,hip bone/old variant of 腿[tui3]
脱,tuo1,to shed/to take off/to escape/to get away from
衣,yi1,to dress/to wear/to put on (clothes)
服,fu2,classifier for medicine: dose/Taiwan pr. [fu2]
换,huan4,to exchange/to change (clothes etc)/to substitute/to switch/to convert (currency)
裤,ku4,underpants/trousers/pants
褂,gua4,(bound form) Chinese-style unlined garment; gown
咦,yi2,expression of surprise
成,cheng2,to succeed/to finish/to complete/to accomplish/to become/to turn into/to be all right/OK!/one tenth
青,qing1,green/blue/black/youth/young (of people)
蛙,wa1,old variant of 蛙[wa1]
弯,wan1,to bend/bent/a bend; a turn (in a road etc)/CL:道[dao4]
的,de,(bound form) bull's-eye; target
月,yue4,"moon/month/monthly/CL:個|个[ge4],輪|轮[lun2]"
亮,liang4,bright; light/to shine; to flash/loud and clear/to show (one's passport etc); to make public (one's views etc)
船,chuan2,"boat/vessel/ship/CL:條|条[tiao2],艘[sou1],隻|只[zhi1]"
尖,jian1,"pointed; tapering; sharp/(of a sound) shrill; piercing/(of one's hearing, sight etc) sharp; acute; keen/to make (one's voice) shrill/sharp point; tip/the best of sth; the cream of the crop"
闪,shan3,"to dodge/to duck out of the way/to beat it/shaken (by a fall)/to sprain/to pull a muscle/lightning/spark/a flash/to flash (across one's mind)/to leave behind/(Internet slang) (of a display of affection) ""dazzlingly"" saccharine"
星,xing1,star/heavenly body/satellite/small amount
天,tian1,day/sky/heaven
日,ri4,"sun/day/date, day of the month"
火,huo3,fire/urgent/ammunition/fiery or flaming/internal heat (Chinese medicine)/hot (popular)/classifier for military units (old)/Kangxi radical 86
牛,niu2,"ox/cow/bull/CL:條|条[tiao2],頭|头[tou2]/newton (abbr. for 牛頓|牛顿[niu2 dun4])/(slang) awesome"
匹,pi3,variant of 匹[pi3]/classifier for cloth: bolt
马,ma3,horse/CL:匹[pi3]/horse or cavalry piece in Chinese chess/knight in Western chess
件,jian4,"item/component/classifier for events, things, clothes etc"
羊,yang2,"sheep; goat/CL:頭|头[tou2],隻|只[zhi1]"
群,qun2,"group/crowd/flock, herd, pack etc"
鸭,ya1,duck (CL:隻|只[zhi1])/(slang) male prostitute
桃,tao2,peach
百,bai3,hundred/numerous/all kinds of
